study_id,pathogen_id,associated_reservoir_id,associated_vector_id,year,month,season,pathogen_tested,population_tested,sample_size,num_pos_pcr,num_pos_ser,num_pos_other,test_other,country,location_name,topography,ecoregion,gps_latitude,gps_longitude,comment
2,1,,,1978,october,dry,yellow_fever,human,,,57,,,gambia,bansang,flood_plain,west_sudanian_savanna,13.43470831,-14.65706571,
6,2,,,1970,all_months,both,anthrax,human,5431,,8,,,gambia,brefet,mangrove,guinean_mangroves,13.24379833,-16.35622723,
6,3,,,1971,all_months,both,anthrax,human,5431,,2,,,gambia,brefet,mangrove,guinean_mangroves,13.24379833,-16.35622723,
6,4,,,1972,all_months,both,anthrax,human,5431,,2,,,gambia,brefet,mangrove,guinean_mangroves,13.24379833,-16.35622723,
6,5,,,1973,all_months,both,anthrax,human,5431,,1,,,gambia,brefet,mangrove,guinean_mangroves,13.24379833,-16.35622723,
6,6,,,1970,all_months,both,anthrax,human,8329,,49,,,gambia,bintang,mangrove,guinean_mangroves,13.2492391,-16.21331088,
6,7,,,1971,all_months,both,anthrax,human,8329,,22,,,gambia,bintang,mangrove,guinean_mangroves,13.2492391,-16.21331088,
6,8,,,1972,all_months,both,anthrax,human,8329,,51,,,gambia,bintang,mangrove,guinean_mangroves,13.2492391,-16.21331088,
6,9,,,1973,all_months,both,anthrax,human,8329,,27,,,gambia,bintang,mangrove,guinean_mangroves,13.2492391,-16.21331088,
6,10,,,1970,all_months,both,anthrax,human,7019,,70,,,gambia,kansala,mangrove,guinean_mangroves,13.2511223,-16.09169974,
6,11,,,1971,all_months,both,anthrax,human,7019,,20,,,gambia,kansala,mangrove,guinean_mangroves,13.2511223,-16.09169974,
6,12,,,1972,all_months,both,anthrax,human,7019,,27,,,gambia,kansala,mangrove,guinean_mangroves,13.2511223,-16.09169974,
6,13,,,1973,all_months,both,anthrax,human,7019,,30,,,gambia,kansala,mangrove,guinean_mangroves,13.2511223,-16.09169974,
6,14,,,1970,all_months,both,anthrax,human,3500,,5,,,gambia,bondai,mangrove,guinean_mangroves,13.24393612,-15.88854252,
6,15,,,1971,all_months,both,anthrax,human,3500,,7,,,gambia,bondai,mangrove,guinean_mangroves,13.24393612,-15.88854252,
6,16,,,1972,all_months,both,anthrax,human,3500,,13,,,gambia,bondai,mangrove,guinean_mangroves,13.24393612,-15.88854252,
6,17,,,1973,all_months,both,anthrax,human,3500,,6,,,gambia,bondai,mangrove,guinean_mangroves,13.24393612,-15.88854252,
6,18,,,1970,all_months,both,anthrax,human,4238,,15,,,gambia,jarrol,mangrove,guinean_mangroves,13.2418977,-15.84631982,
6,19,,,1971,all_months,both,anthrax,human,4238,,9,,,gambia,jarrol,mangrove,guinean_mangroves,13.2418977,-15.84631982,
6,20,,,1972,all_months,both,anthrax,human,4238,,21,,,gambia,jarrol,mangrove,guinean_mangroves,13.2418977,-15.84631982,
6,21,,,1973,all_months,both,anthrax,human,4238,,8,,,gambia,jarrol,mangrove,guinean_mangroves,13.2418977,-15.84631982,
10,22,,,1988,august,rainy,rift_valley_fever,animal,39,,28,,,senegal,dagana,desert,sahelian_acacia_savanna,16.51216619,-15.50723996,
10,23,,,1988,august,rainy,rift_valley_fever,animal,172,,37,,,senegal,podor,desert,sahelian_acacia_savanna,16.66072234,-14.95859529,
10,24,,,1988,august,rainy,rift_valley_fever,animal,92,,9,,,senegal,matam,desert,sahelian_acacia_savanna,15.66024943,-13.25788065,
10,25,1 and 4,,1989,august,rainy,rift_valley_fever,animal,159,,38,,,senegal,dagana,desert,sahelian_acacia_savanna,16.51056251,-15.50296059,
10,26,2 and 5,,1989,august,rainy,rift_valley_fever,animal,115,,18,,,senegal,podor,desert,sahelian_acacia_savanna,16.66072234,-14.95859529,
10,27,3 and 6,,1989,august,rainy,rift_valley_fever,animal,57,,8,,,senegal,matam,desert,sahelian_acacia_savanna,15.66024943,-13.25788065,
12,28,,1,2015,july_to_december,both,yellow_fever,vector,106,4,,,,senegal,kedougou,highlands,west_sudanian_savanna,12.56142659,-12.17128667,
12,29,,2,2015,july_to_december,both,yellow_fever,vector,2823,8,,,,senegal,kedougou,highlands,west_sudanian_savanna,12.56142659,-12.17128667,
12,30,,3,2015,july_to_december,both,yellow_fever,vector,1107,7,,,,senegal,kedougou,highlands,west_sudanian_savanna,12.56142659,-12.17128667,
12,31,,4,2015,july_to_december,both,yellow_fever,vector,130,1,,,,senegal,kedougou,highlands,west_sudanian_savanna,12.56142659,-12.17128667,
12,32,,5,2015,july_to_december,both,yellow_fever,vector,2034,4,,,,senegal,kedougou,highlands,west_sudanian_savanna,12.56142659,-12.17128667,
13,33,,,2010,july,rainy,yellow_fever,human,,2,,,,senegal,kedougou,highlands,west_sudanian_savanna,12.56142659,-12.17128667,
13,34,,,2010,october,rainy,yellow_fever,human,,1,,,,senegal,kedougou,highlands,west_sudanian_savanna,12.56142659,-12.17128667,
13,35,,,2010,december,dry,yellow_fever,human,,3,,,,senegal,kedougou,highlands,west_sudanian_savanna,12.56142659,-12.17128667,
13,36,,,2011,july,rainy,yellow_fever,human,,1,,,,senegal,kedougou,highlands,west_sudanian_savanna,12.56142659,-12.17128667,
13,37,,,2011,august,rainy,yellow_fever,human,,1,,,,senegal,kedougou,highlands,west_sudanian_savanna,12.56142659,-12.17128667,
13,38,,,2011,september,rainy,yellow_fever,human,,2,,,,senegal,kedougou,highlands,west_sudanian_savanna,12.56142659,-12.17128667,
13,39,,,2011,october,rainy,yellow_fever,human,,1,,,,senegal,kedougou,highlands,west_sudanian_savanna,12.56142659,-12.17128667,
13,40,,,2011,november,dry,yellow_fever,human,,1,,,,senegal,kedougou,highlands,west_sudanian_savanna,12.56142659,-12.17128667,
13,41,,,2012,october,rainy,rift_valley_fever,human,,1,,,,senegal,kedougou,highlands,west_sudanian_savanna,12.56142659,-12.17128667,
17,42,,,2021,february,dry,crimean_congo_haemorrhagic_fever,human,364,,38,,,senegal,agnam_civol,desert,sahelian_acacia_savanna,16.00817546,-13.68320371,
17,43,7,,2021,february,dry,crimean_congo_haemorrhagic_fever,animal,34,,13,,,senegal,agnam_civol,desert,sahelian_acacia_savanna,16.00817546,-13.68320371,
17,44,,18,2021,february,dry,crimean_congo_haemorrhagic_fever,vector,808,3,,,sample size equal number of vector pools,senegal,agnam_civol,desert,sahelian_acacia_savanna,16.00817546,-13.68320371,ticks were pooled for sampling - 3 of the pools were positive for CCHF but don’t know how many indidivual ticks were positive
