study_id,vector_id,associated_pathogen_id,associated_reservoir_id,year,month,season,genus,species,sample_size,sampling_method,country,location_name,topography,ecoregion,gps_latitude,gps_longitude,comment
2,1,,,1978,november,dry,aedes,furcifer_taylori,19,hand_catching,gambia,bansang,flood_plain,west_sudanian_savanna,13.4349958,-14.65198532,
2,2,,,1978,november,dry,aedes,vitattue,2,hand_catching,gambia,bansang,flood_plain,west_sudanian_savanna,13.4349958,-14.65198532,
2,3,,,1978,november,dry,culex,antennatus,5,hand_catching,gambia,bansang,flood_plain,west_sudanian_savanna,13.4349958,-14.65198532,
2,4,,,1978,november,dry,culex,poicilipes,3,hand_catching,gambia,bansang,flood_plain,west_sudanian_savanna,13.4349958,-14.65198532,
2,5,,,1978,november,dry,culex,neavei,3,hand_catching,gambia,bansang,flood_plain,west_sudanian_savanna,13.4349958,-14.65198532,
12,6,27,,2015,july_to_december,both,aedes,africanus,106,hand_catching,senegal,kedougou,highlands,west_sudanian_savanna,12.56142659,-12.17128667,
12,7,28,,2015,july_to_december,both,aedes,furcifer,2823,hand_catching,senegal,kedougou,highlands,west_sudanian_savanna,12.56142659,-12.17128667,
12,8,29,,2015,july_to_december,both,aedes,luteocephalus,1107,hand_catching,senegal,kedougou,highlands,west_sudanian_savanna,12.56142659,-12.17128667,
12,9,30,,2015,july_to_december,both,aedes,taylori,130,hand_catching,senegal,kedougou,highlands,west_sudanian_savanna,12.56142659,-12.17128667,
12,10,31,,2015,july_to_december,both,aedes,vittatus,2034,hand_catching,senegal,kedougou,highlands,west_sudanian_savanna,12.56142659,-12.17128667,
12,11,,,2015,july_to_december,both,aedes,aegypti,236,hand_catching,senegal,kedougou,highlands,west_sudanian_savanna,12.56142659,-12.17128667,
12,12,,,2015,july_to_december,both,aedes,dalzieli,2286,hand_catching,senegal,kedougou,highlands,west_sudanian_savanna,12.56142659,-12.17128667,
12,13,,,2015,july_to_december,both,aedes,metallicus,54,hand_catching,senegal,kedougou,highlands,west_sudanian_savanna,12.56142659,-12.17128667,
12,14,,,2015,july_to_december,both,aedes,vexans,0,hand_catching,senegal,kedougou,highlands,west_sudanian_savanna,12.56142659,-12.17128667,
12,15,,,2015,july_to_december,both,culex,neavei,13,hand_catching,senegal,kedougou,highlands,west_sudanian_savanna,12.56142659,-12.17128667,
12,16,,,2015,july_to_december,both,culex,poicilipes,30,hand_catching,senegal,kedougou,highlands,west_sudanian_savanna,12.56142659,-12.17128667,
12,17,,,2015,july_to_december,both,culex,antennatus,19,hand_catching,senegal,kedougou,highlands,west_sudanian_savanna,12.56142659,-12.17128667,
12,18,,,2015,july_to_december,both,culex,perfuscus,17,hand_catching,senegal,kedougou,highlands,west_sudanian_savanna,12.56142659,-12.17128667,
12,19,,,2015,july_to_december,both,culex,quinquefasciatus,98,hand_catching,senegal,kedougou,highlands,west_sudanian_savanna,12.56142659,-12.17128667,
12,20,,,2015,july_to_december,both,anopheles,coustani,422,hand_catching,senegal,kedougou,highlands,west_sudanian_savanna,12.56142659,-12.17128667,
12,21,,,2015,july_to_december,both,mansonia,africana,48,hand_catching,senegal,kedougou,highlands,west_sudanian_savanna,12.56142659,-12.17128667,
12,22,,,2015,july_to_december,both,mansonia,uniformis,182,hand_catching,senegal,kedougou,highlands,west_sudanian_savanna,12.56142659,-12.17128667,
17,23,34,7,2021,february,dry,hyalomma,marginatum_rufipes,12,manual_removal,senegal,agnam_civol,desert,sahelian_acacia_savanna,16.00817546,-13.68320371,
17,24,34,7,2021,february,dry,hyalomma,truncatum,37,manual_removal,senegal,agnam_civol,desert,sahelian_acacia_savanna,16.00817546,-13.68320371,
17,25,34,7,2021,february,dry,rhipicephalus,evertesi_evertesi,77,manual_removal,senegal,agnam_civol,desert,sahelian_acacia_savanna,16.00817546,-13.68320371,
17,26,34,7,2021,february,dry,rhipicephalus,muhsamae,108,manual_removal,senegal,agnam_civol,desert,sahelian_acacia_savanna,16.00817546,-13.68320371,
17,27,34,7,2021,february,dry,rhipicephalus,guilhoni,220,manual_removal,senegal,agnam_civol,desert,sahelian_acacia_savanna,16.00817546,-13.68320371,
17,28,34,7,2021,february,dry,hyalomma,impeltatum,1784,manual_removal,senegal,agnam_civol,desert,sahelian_acacia_savanna,16.00817546,-13.68320371,
21,29,,,2021,july,rainy,,multiple_tick_spp,1633,forcep_extraction,senegal,bandia,savanna,west_sudanian_savanna,14.62547031,-17.01797222,
21,30,,,2021,july,rainy,,multiple_tick_spp,485,forcep_extraction,senegal,haere_lao,desert,sahelian_acacia_savanna,16.4006331,-14.32384402,
21,31,,,2021,july,rainy,,multiple_tick_spp,233,forcep_extraction,senegal,kassack,desert,sahelian_acacia_savanna,16.39684535,-15.99074194,
21,32,,,2021,july,rainy,,multiple_tick_spp,1389,forcep_extraction,senegal,kolda,forest,guinean_forest_savanna_mosaic,12.90085667,-14.9436033,
21,33,,,2021,july,rainy,,multiple_tick_spp,291,forcep_extraction,senegal,nabadji,desert,sahelian_acacia_savanna,15.7378981,-13.3890316,
21,34,,,2021,july,rainy,,multiple_tick_spp,536,forcep_extraction,senegal,saint_louis,desert,sahelian_acacia_savanna,16.03270582,-16.48172816,
21,35,,,2021,july,rainy,,multiple_tick_spp,1351,forcep_extraction,senegal,tatki,desert,sahelian_acacia_savanna,16.23073385,-15.28236989,
21,36,,,2021,july,rainy,,multiple_tick_spp,217,forcep_extraction,senegal,tessekere,,sahelian_acacia_savanna,15.84134073,-14.97638397,
44,38,88,,1995,november,dry,aedes,aegypti,699,hand_catching,senegal,koungheul,,west_sudanian_savanna,13.9800968,-14.80110891,
44,39,89,,1995,november,dry,aedes,furficer,21,hand_catching,senegal,koungheul,,west_sudanian_savanna,13.9800968,-14.80110891,
44,40,90,,1995,november,dry,aedes,luteocephalus,1,hand_catching,senegal,koungheul,,west_sudanian_savanna,13.9800968,-14.80110891,
44,41,91,,1995,november,dry,aedes,metallicus,1,hand_catching,senegal,koungheul,,west_sudanian_savanna,13.9800968,-14.80110891,
44,42,92,,1995,november,dry,aedes,vittatus,5,hand_catching,senegal,koungheul,,west_sudanian_savanna,13.9800968,-14.80110891,
44,43,93,,1995,november,dry,aedes,fowleri,1,hand_catching,senegal,koungheul,,west_sudanian_savanna,13.9800968,-14.80110891,
44,44,94,,1995,november,dry,aedes,sudanensis,1,hand_catching,senegal,koungheul,,west_sudanian_savanna,13.9800968,-14.80110891,
44,45,95,,1995,november,dry,aedes,vexans,3,hand_catching,senegal,koungheul,,west_sudanian_savanna,13.9800968,-14.80110891,
60,46,,,1979,november,dry,aedes,aegypti,37,hand_catching,senegal,toubakouta,,guinean_forest_savanna_mosaic,13.78207683,-16.46960076,
60,47,,,1979,november,dry,aedes,luteocephalus,1,hand_catching,senegal,toubakouta,,guinean_forest_savanna_mosaic,13.78207683,-16.46960076,
60,48,,,1979,november,dry,aedes,furficer_taylori,6,hand_catching,senegal,toubakouta,,guinean_forest_savanna_mosaic,13.78207683,-16.46960076,
60,49,,,1979,november,dry,aedes,aegypti,1,hand_catching,senegal,karang,,guinean_forest_savanna_mosaic,13.60504976,-16.42610138,
60,50,,,1979,november,dry,aedes,aegypti,6,hand_catching,senegal,sokone,,guinean_forest_savanna_mosaic,13.8777746,-16.37268552,
60,51,,,1979,november,dry,aedes,luteocephalus,1,hand_catching,senegal,sokone,,guinean_forest_savanna_mosaic,13.8777746,-16.37268552,
60,52,,,1979,november,dry,aedes,aegypti,4,hand_catching,senegal,foundiougne,,guinean_forest_savanna_mosaic,14.12401404,-16.46707752,
70,53,,,1993,march,dry,glossina,morsitans,664,blue_box_traps,senegal,dankunku,,west_sudanian_savanna,13.57119537,-15.32619487,
72,54,,,2021_2022,all_months,both,hyalomma,impeltatum,1784,,senegal,idite,desert,sahelian_acacia_savanna,15.91783314,-13.71734984,
72,55,,,2021_2022,all_months,both,rhipicephalus,guilhoni,220,,senegal,idite,desert,sahelian_acacia_savanna,15.91783314,-13.71734984,
