study_id,reservoir_id,reservoir_id_new,year,month,season,genus,species,common_name,sample_size,country,location_name,full_location_name,topography,ecoregion,gps_latitude,gps_longitude
10,1,res_1,1989,August,Rainy,,,Sheep,82,Senegal,dagana,"Dagana, Senegal",Desert,Sahelian_acacia_savanna,16.51216619,-15.50723996
10,2,res_2,1989,August,Rainy,,,Sheep,89,Senegal,podor,"Podor, Senegal",Desert,Sahelian_acacia_savanna,16.66072234,-14.95859529
10,3,res_3,1989,August,Rainy,,,Sheep,35,Senegal,matam,"Matam, Senegal",Desert,Sahelian_acacia_savanna,15.66024943,-13.25788065
10,4,res_4,1989,August,Rainy,,,Goat,77,Senegal,dagana,"Dagana, Senegal",Desert,Sahelian_acacia_savanna,16.51216619,-15.50723996
10,5,res_5,1989,August,Rainy,,,Goat,26,Senegal,podor,"Podor, Senegal",Desert,Sahelian_acacia_savanna,16.66072234,-14.95859529
10,6,res_6,1989,August,Rainy,,,Goat,22,Senegal,matam,"Matam, Senegal",Desert,Sahelian_acacia_savanna,15.66024943,-13.25788065
17,7,res_7,2021,February,Dry,,,Sheep,453,Senegal,agnam_civol,"Agnam Civol, Senegal",Desert,Sahelian_acacia_savanna,16.00817546,-13.68320371
19,8,res_8,1990,,,,,Cattle,249,Senegal,dagana,"Dagana, Senegal",Desert,Sahelian_acacia_savanna,16.51216619,-15.50723996
19,9,res_9,1990,,,,,Small_ruminants,105,Senegal,dagana,"Dagana, Senegal",Desert,Sahelian_acacia_savanna,16.51216619,-15.50723996
19,10,res_10,1990,,,,,Cattle,222,Senegal,podor,"Podor, Senegal",Desert,Sahelian_acacia_savanna,16.66072234,-14.95859529
19,11,res_11,1990,,,,,Small_ruminants,259,Senegal,podor,"Podor, Senegal",Desert,Sahelian_acacia_savanna,16.66072234,-14.95859529
19,12,res_12,1990,,,,,Cattle,159,Senegal,matam,"Matam, Senegal",Desert,Sahelian_acacia_savanna,15.66024943,-13.25788065
19,13,res_13,1990,,,,,Small_ruminants,231,Senegal,matam,"Matam, Senegal",Desert,Sahelian_acacia_savanna,15.66024943,-13.25788065
21,14,res_14,2021,July,Rainy,,,Cattle,30,Senegal,nabadji,"Nabadji, Senegal",Desert,Sahelian_acacia_savanna,15.7378981,-13.3890316
21,15,res_15,2021,July,Rainy,,,Cattle,30,Senegal,haere_lao,"Haere Lao, Senegal",Desert,Sahelian_acacia_savanna,16.4006331,-14.32384402
21,16,res_16,2021,July,Rainy,,,Cattle,30,Senegal,tatki,"Tatki, Senegal",Desert,Sahelian_acacia_savanna,16.23073385,-15.28236989
21,17,res_17,2021,July,Rainy,,,Cattle,30,Senegal,tessekere,"Tessekere, Senegal",,Sahelian_acacia_savanna,15.84134073,-14.97638397
