study_id,include,exclude_reason,first_author,data_type,data_type_other,year,title,abstract,journal,volume,study_year_start,study_year_end,study_design,country,doi,full_text_link
130,yes,,"Goossens, B.",reservoir,,1998,Abattoir survey of sheep and goats in {The} {Gambia,"An abattoir survey of sheep and goats was carried out in The Gambia for one year. A total of 1248 goats and 438 sheep, predominantly young females, were slaughtered and sampled. Sixty per cent of the females of both species were pregnant. There were no significant differences between the dressing percentages of different breeds and age groups. Sex and stage of pregnancy had a significant influence on carcase yields in both species. In goats the highest carcase yields were obtained during the early dry season. Most of the animals were clinically healthy and there were few pathological findings postmortem. In both species, there was a seasonal fluctuation of packed cell volume (PCV), with a minimum during the rains, and although the prevalence of trypanosomiasis was low it reduced the PCV. Faecal egg counts of Trichostrongylidae were highest during the rainy season and goats had higher faecal egg and coccidial oocyst counts than sheep. In sheep, a breed difference was observed for PCV and an age difference for egg excretion. The peak or higher rates of egg excretion occurred during the rains in both species. The immune status against peste des petits ruminants was significantly lower in goats (39 per cent) than in sheep (49.5 per cent). Antibodies against bluetongue virus were found in 62.6 per cent of goats and 55.8 per cent of sheep.",The Veterinary record,142,1992,1992,cross_sectional,gambia,,
131,no,no data to extract,"Chibanda, C.",reservoir,,2023,An analysis of the broiler value chain and economics of broiler production in {Senegal}: status quo after two decades of import restrictions,"PurposeThis study analyzed the state of broiler production in Senegal after nearly two decades of poultry import restrictions. It provides a synopsis of the Senegalese broiler value chain and evaluates the performance and economics of different broiler farm types.Design/methodology/approachA multi-stakeholder workshop and interviews were conducted with key informants to investigate the structure and activities of the Senegalese broiler value chain. The typical farm approach (TFA) was used to construct and analyze ""typical"" farms that represent the most common broiler production systems in Senegal.FindingsThe current situation in the Senegalese broiler value chain is favorable for hatcheries, feed mills, producers and poultry traders. However, the slaughterhouses are not faring well. The farm economic analysis demonstrates that typical medium-scale broiler farms are performing well, due to the use of high-quality feed, chicks and good husbandry. Additionally, the analysis revealed that feed and day-old chick (DOC) costs are the most significant in conventional broiler production in Senegal. Despite the high costs of feed and DOCs, broiler production is profitable for typical farms.Research limitations/implicationsAthough this study provides detailed insights into broiler farm economics in Senegal, it does not include typical integrated large-scale broiler farm-types. Based on our findings, we can predict that such farm types may be more efficient and have lower production costs due to the use of high-quality inputs (chicks and feed), and economies of scale. However, future studies will need to verify this prediction.Originality/valueTo the best of the authors' knowledge, only a few unpublished studies on broiler farm economics in Senegal exist. These studies only provide a basic analysis of the cost of production and profitability, with little consideration of various production systems. Contrastingly, this study provides a detailed economic analysis of different types of conventional broiler farms in key production regions.",Journal of Agribusiness in Developing and Emerging Economies,,,,,,10.1108/JADEE-08-2022-0189,
132,no,no data to extract,"Juul, K.",reservoir,,1991,ANIMAL} {COUNTING} {IN} {THE} {NORTHERN} {SENEGAL} ({FERLO}) - {A} {COMMENT} {ON} {THE} {RELIABILITY} {OF} {QUANTITATIVE} {LIVESTOCK} {DATA,,,,,,,,,
133,no,no data to extract,"Sarrat, H.",reservoir,,1969,[{Animal} reservoirs of {Salmonellae} in {Senegal} (apropos of a survey carried out in a rural area)],,Le reservoir de virus animal des salmonelles au senegal (a propos d'une enquete effectuee en zone rurale.,14,,,,,,
134,no,no data to extract,"Hubert, B.",reservoir,,1981,ANNUAL} {DIET} {CYCLE} {OF} {THE} 3 {PRINCIPAL} {SPECIES} {OF} {RODENTS} ({RODENTIA} - {GERBILLIDAE} {AND} {MURIDAE}) {FROM} {BANDIA} ({SENEGAL}),,Mammalia,45,,,,,10.1515/mamm.1981.45.1.1,
135,no,irrelevant,"Coursaget, P.",reservoir,,1985,ANTIBODIES} {TO} {HUMAN} {T}-{CELL} {LEUKEMIA}-{VIRUS} ({HTLV}-1) {IN} {NON}-{HUMAN} {PRIMATES} {FROM} {SENEGAL,,Biomedicine \& Pharmacotherapy,39,,,,,,
136,no,no data to extract,"Snow, W. F.",reservoir,,1996,Application of a systems approach to problem analysis of {African} animal trypanosomiasis in the {Gambia,"The application of systems analysis techniques identified a number of key factors which will determine future developments in the Gambian livestock industry, with especial reference to traditionally managed trypanotolerant, N'dama cattle, and the importance of tsetse and trypanosomiasis. Different components of the analysis repeatedly identified the following key factors: human population growth; declining rainfall; loss of tree cover; trends in land-use including increased areas under cultivation, reduced fallowing and reduced access for grazing; livestock numbers; prices for groundnuts (the main cash crop) and cattle; and indicators of national wealth reflecting cash available to invest in livestock or to purchase livestock products. In many areas tsetse and trypanosomiasis appear to be in decline as a result of habitat destruction but they are likely to persist in others where trypanotolerant animals face a high risk of trypanosomiasis infection and active control may bring significant benefits. Several of the identified trends raise doubts concerning the long-term sustainability of traditional grazing on common land, although improved, intensive management strategies can do much to alleviate these problems. Copyright (C) 1996 Published by Elsevier Science Ltd.",Agricultural Systems,51,,,,,10.1016/0308-521X(95)00048-A,
137,yes,,"Pruetz, J. D.",reservoir,,2008,Arboreal nesting as anti-predator adaptation by savanna chimpanzees ({Pan} troglodytes verus) in southeastern {Senegal,"Chimpanzees (Pan troglodytes) make nests for resting and sleeping, which is unusual for anthropoid primates but common to all great apes. Arboreal nesting has been linked to predation pressure, but few studies have tested the adaptive nature of this behavior. We collected data at two chimpanzee study sites in southeastern Senegal that differed in predator presence to test the hypothesis that elevated sleeping platforms are adaptations for predator defense. At Assirik in the Parc National du Niokolo-Koba, chimpanzees face four species of large carnivore, whereas at Fongoli, outside national park boundaries, humans have exterminated almost all natural predators. We quantified the availability of vegetation at the two sites to test the alternative hypothesis that differences in nesting reflect differences in habitat structure. We also examined possible sex differences in nesting behavior, community demographic differences, seasonality and nest age differences as variables also potentially affecting nest characteristics and nesting behavior between the two sites. Chimpanzees at Fongoli nested at lower heights and farther apart than did chimpanzees at Assirik and sometimes made nests on the ground. The absence of predators outside of the national park may account for the differences in nest characteristics at the two sites, given the similarities in habitat structure between Fongoli and Assirik. However, Fongoli chimpanzees regularly build arboreal nests for sleeping, even under minimal predation pressure, and this requires explanation.",American Journal of Primatology,70,2000,2001,cross_sectional,senegal,10.1002/ajp.20508,
138,no ,no data to extract,"Traoré, S. G.",reservoir,,2018,"Assessing knowledge, beliefs and practices related to the consumption of sheep and goat meat in {Senegal","A Rapid Integrated Assessment (RIA) of nutrition and health risks and benefits was carried out in 2013 in sheep and goat agri-food systems in urban and rural Senegal. This included: i) testing small ruminants (n=384) for brucellosis, ii) focus group discussions of mothers covering knowledge, attitude and practices related to preparation and consumption of animal source food. No antibodies to Brucella melitensis, the presumed priority zoonotic pathogen, were found. Comparing the more traditional, livestock-keeping community with the urban, less livestock-dependent community, we found: urban diets were more diverse, relied more on fish versus livestock products, and used modern products such as yoghurts. Attitudes and beliefs around nutrition and health, strongly shaped the consumption of animal source foods in these contexts.",Global Food Security-Agriculture Policy Economics and Environment,19,,,,,10.1016/j.gfs.2018.10.001,
139,no,no location data ,"Richards, L.",reservoir,,2019,Assessing the nonhuman primate reservoir of {Schistosoma} mansoni in {Africa}: {A} systematic review,"Background: Reports of natural infections of Schistosoma mansoni in a number of species of nonhuman primates (NHPs) in Africa, coupled with the substantial overlap of NHP habitats and human schistosomiasis endemic areas, has led to concerns about the role of NHPs in the transmission of human schistosomiasis. We conducted a systematic review of the literature to describe the current scope of knowledge for Africa, for the NHP species implicated, their geographical distribution, infection rates with S. mansoni, and to discuss the implications for public health and conservation. Main text: A systematic search of the literature was performed using PubMed, Web of Science, Google Scholar, the World Health Organization (WHO) library database, World Cat, and ScienceDirect without any language restriction. Studies examining S. mansoni infection of any African NHP species were included. Study types, primate species, their geographical distribution, and parasite diagnostic techniques reported in the studies were qualitatively summarized. Data for species with sample sizes {\textgreater}=10 were included in the meta-analysis. We assessed the reported infection rate, and used a random-effects model to estimate the summary infection rates and 95\% confidence intervals (CIs). We assessed heterogeneity among studies using the I 2 statistics. Twenty-nine publications, from 1960 to 2018, were identified and included in the review. The studies examined a total of 2962 primates belonging to 22 species in 11 genera across ten countries (Cameroon, Eritrea, Ethiopia, Gabon, Kenya, Nigeria, Senegal, Tanzania, Uganda, and Zimbabwe), and S. mansoni infections were found in nine species of five genera in all countries. When we excluded studies with sample sizes {\textless} 10, data from 24 studies on 11 species of primates in three genera in ten countries remained in the meta-analysis. The overall pooled estimate of infection rate was 10\% (95\% CI: 6-16\%) with high heterogeneity (I 2 = 94.77\%) across countries and species/genera. Among the three genera, Pan had the highest infection rate of 15\% (95\% CI: 0-55\%), followed by Papio at 11\% (95\% CI: 6-18\%), and Cercopithecus at 5\% (95\% CI: 0-14\%). The association between NHP and human infections was positive, but not significant, due to low study sample matches and high variation. Conclusion(s): Our findings suggest that S. mansoni infection rate is high in African NHPs, with substantial heterogeneities across species/genera and countries in Africa. Given the evidence for potential spillover and spillback of S. mansoni between African NHPs and humans, further research is urgently needed to understand ecology and mechanisms of transmission of the parasite between NHP and human hosts, in order to inform control strategies of this important neglected tropical disease.Copyright © 2019 The Author(s).",Infectious Diseases of Poverty,8,,,,,https://dx.doi.org/10.1186/s40249-019-0543-7,
