study_id,vector_id,vector_id_new,year,month,season,genus,species,sample_size,country,location_name,full_location_name,topography,ecoregion,gps_latitude,gps_longitude
2,1,vec_1,1978,November,Dry,Aedes,furcifer_taylori,19,Gambia,bansang,"Bansang, Gambia",Flood_plain,West_sudanian_savanna,13.4349958,-14.65198532
2,2,vec_2,1978,November,Dry,Aedes,vittatus,2,Gambia,bansang,"Bansang, Gambia",Flood_plain,West_sudanian_savanna,13.4349958,-14.65198532
2,3,vec_3,1978,November,Dry,Culex,antennatus,5,Gambia,bansang,"Bansang, Gambia",Flood_plain,West_sudanian_savanna,13.4349958,-14.65198532
2,4,vec_4,1978,November,Dry,Culex,poicilipes,3,Gambia,bansang,"Bansang, Gambia",Flood_plain,West_sudanian_savanna,13.4349958,-14.65198532
2,5,vec_5,1978,November,Dry,Culex,neavei,3,Gambia,bansang,"Bansang, Gambia",Flood_plain,West_sudanian_savanna,13.4349958,-14.65198532
12,6,vec_6,2015,July_to_december,Both,Aedes,africana,106,Senegal,kedougou,"Kedougou, Senegal",Highlands,West_sudanian_savanna,12.56142659,-12.17128667
12,7,vec_7,2015,July_to_december,Both,Aedes,furcifer,2823,Senegal,kedougou,"Kedougou, Senegal",Highlands,West_sudanian_savanna,12.56142659,-12.17128667
12,8,vec_8,2015,July_to_december,Both,Aedes,luteocephalus,1107,Senegal,kedougou,"Kedougou, Senegal",Highlands,West_sudanian_savanna,12.56142659,-12.17128667
12,9,vec_9,2015,July_to_december,Both,Aedes,taylori,130,Senegal,kedougou,"Kedougou, Senegal",Highlands,West_sudanian_savanna,12.56142659,-12.17128667
12,10,vec_10,2015,July_to_december,Both,Aedes,vittatus,2034,Senegal,kedougou,"Kedougou, Senegal",Highlands,West_sudanian_savanna,12.56142659,-12.17128667
12,11,vec_11,2015,July_to_december,Both,Aedes,aegypti,236,Senegal,kedougou,"Kedougou, Senegal",Highlands,West_sudanian_savanna,12.56142659,-12.17128667
12,12,vec_12,2015,July_to_december,Both,Aedes,dalzieli,2286,Senegal,kedougou,"Kedougou, Senegal",Highlands,West_sudanian_savanna,12.56142659,-12.17128667
12,13,vec_13,2015,July_to_december,Both,Aedes,metallicus,54,Senegal,kedougou,"Kedougou, Senegal",Highlands,West_sudanian_savanna,12.56142659,-12.17128667
12,14,vec_14,2015,July_to_december,Both,Aedes,vexans,0,Senegal,kedougou,"Kedougou, Senegal",Highlands,West_sudanian_savanna,12.56142659,-12.17128667
12,15,vec_15,2015,July_to_december,Both,Culex,neavei,13,Senegal,kedougou,"Kedougou, Senegal",Highlands,West_sudanian_savanna,12.56142659,-12.17128667
12,16,vec_16,2015,July_to_december,Both,Culex,poicilipes,30,Senegal,kedougou,"Kedougou, Senegal",Highlands,West_sudanian_savanna,12.56142659,-12.17128667
12,17,vec_17,2015,July_to_december,Both,Culex,antennatus,19,Senegal,kedougou,"Kedougou, Senegal",Highlands,West_sudanian_savanna,12.56142659,-12.17128667
12,18,vec_18,2015,July_to_december,Both,Culex,perfuscus,17,Senegal,kedougou,"Kedougou, Senegal",Highlands,West_sudanian_savanna,12.56142659,-12.17128667
12,19,vec_19,2015,July_to_december,Both,Culex,quinquefasciatus,98,Senegal,kedougou,"Kedougou, Senegal",Highlands,West_sudanian_savanna,12.56142659,-12.17128667
12,20,vec_20,2015,July_to_december,Both,Anopheles,coustani,422,Senegal,kedougou,"Kedougou, Senegal",Highlands,West_sudanian_savanna,12.56142659,-12.17128667
12,21,vec_21,2015,July_to_december,Both,Mansonia,africana,48,Senegal,kedougou,"Kedougou, Senegal",Highlands,West_sudanian_savanna,12.56142659,-12.17128667
12,22,vec_22,2015,July_to_december,Both,Mansonia,uniformis,182,Senegal,kedougou,"Kedougou, Senegal",Highlands,West_sudanian_savanna,12.56142659,-12.17128667
17,23,vec_23,2021,February,Dry,Hyalomma,marginatum_rufipes,12,Senegal,agnam_civol,"Agnam Civol, Senegal",Desert,Sahelian_acacia_savanna,16.00817546,-13.68320371
17,24,vec_24,2021,February,Dry,Hyalomma,truncatum,37,Senegal,agnam_civol,"Agnam Civol, Senegal",Desert,Sahelian_acacia_savanna,16.00817546,-13.68320371
17,25,vec_25,2021,February,Dry,Rhipicephalus,evertesi_evertesi,77,Senegal,agnam_civol,"Agnam Civol, Senegal",Desert,Sahelian_acacia_savanna,16.00817546,-13.68320371
17,26,vec_26,2021,February,Dry,Rhipicephalus,muhsamae,108,Senegal,agnam_civol,"Agnam Civol, Senegal",Desert,Sahelian_acacia_savanna,16.00817546,-13.68320371
17,27,vec_27,2021,February,Dry,Rhipicephalus,guilhoni,220,Senegal,agnam_civol,"Agnam Civol, Senegal",Desert,Sahelian_acacia_savanna,16.00817546,-13.68320371
17,28,vec_28,2021,February,Dry,Hyalomma,impeltatum,1784,Senegal,agnam_civol,"Agnam Civol, Senegal",Desert,Sahelian_acacia_savanna,16.00817546,-13.68320371
21,29,vec_29,2021,July,Rainy,,multiple_tick_spp,1633,Senegal,bandia,"Bandia, Senegal",Savanna,West_sudanian_savanna,14.62547031,-17.01797222
21,30,vec_30,2021,July,Rainy,,multiple_tick_spp,485,Senegal,haere_lao,"Haere Lao, Senegal",Desert,Sahelian_acacia_savanna,16.4006331,-14.32384402
21,31,vec_31,2021,July,Rainy,,multiple_tick_spp,233,Senegal,kassack,"Kassack, Senegal",Desert,Sahelian_acacia_savanna,16.39684535,-15.99074194
21,32,vec_32,2021,July,Rainy,,multiple_tick_spp,1389,Senegal,kolda,"Kolda, Senegal",Forest,Guinean_forest_savanna_mosaic,12.90085667,-14.9436033
